comunidad,Dosis entregadas Pfizer (1),Dosis entregadas Moderna (1),Dosis entregadas AstraZeneca (1),Total Dosis entregadas (1),Dosis administradas (2),% sobre entregadas,Nº Personas vacunadas(pauta completada),Fecha de la última vacuna registrada (2)
Cataluña,819620,105400,316100,1241120,915213,0.737408953203558,260858,2021-03-16
C. Valenciana,450640,57800,205400,713840,530413,0.7430418581194665,176797,2021-03-17
Extremadura,143405,17800,43200,204405,156742,0.7668207724859959,57469,2021-03-16
Galicia,313675,41400,109800,464875,370076,0.7960763646141436,108250,2021-03-17
La Rioja,41015,4800,12900,58715,48465,0.8254279145022566,15104,2021-03-17
Madrid,667995,85200,275500,1028695,814603,0.7918800033051585,210252,2021-03-17
Murcia,162185,19800,61300,243285,185005,0.7604455679552787,58598,2021-03-16
Navarra,76785,9700,26800,113285,90919,0.8025687425519707,29319,2021-03-17
País Vasco,238500,30800,90200,359500,254750,0.7086230876216968,69823,2021-03-17
Ceuta,5490,900,3500,9890,9424,0.952881698685541,2541,2021-03-17
Melilla,4320,800,3500,8620,7915,0.918213457076566,2379,2021-03-17
Totales,5106465,650400,1927400,7684265,5993363,0.77995266951361,1886813,2021-03-17
