comunidad,Dosis entregadas Pfizer (1),Dosis entregadas Moderna (1),Dosis entregadas AstraZeneca (1),Total Dosis entregadas (1),Dosis administradas (2),% sobre entregadas,Nº Personas vacunadas(pauta completada),Fecha de la última vacuna registrada (2)
Melilla,1005,0,0,1005,673,0.6696517412935323,0,2021-01-08
Totales,743925,0,0,743925,277976,0.373661323386094,0,2021-01-07
Andalucía,140295,0,0,140295,94879,0.6762821198189529,0,2021-01-11
Aragón,23715,0,0,23715,11983,0.505292009276829,0,2021-01-11
Asturias,23720,0,0,23720,22428,0.945531197301855,0,2021-01-12
Baleares,12840,0,0,12840,4835,0.3765576323987539,0,2021-01-11
Canarias,27660,0,0,27660,15328,0.5541576283441794,0,2021-01-12
Cantabria,11850,0,0,11850,9527,0.8039662447257384,0,2021-01-12
Castilla y Leon,51390,0,0,51390,41340,0.804436660828955,0,2021-01-11
Castilla La Mancha,35550,0,0,35550,23342,0.6565963431786217,0,2021-01-12
Cataluña,120545,0,0,120545,82785,0.6867559832427724,0,2021-01-10
C. Valenciana,61225,0,0,61225,57223,0.9346345447121274,0,2021-01-12
Extremadura,21725,0,0,21725,11346,0.5222554660529344,0,2021-01-11
Galicia,37555,0,0,37555,33346,0.88792437757955,0,2021-01-12
La Rioja,5915,0,0,5915,3826,0.6468300929839391,0,2021-01-11
Madrid,98790,0,0,98790,35949,0.3638931065897358,0,2021-01-12
Murcia,25685,0,0,25685,16191,0.6303679190188826,0,2021-01-12
Navarra,11850,0,0,11850,6557,0.5533333333333333,0,2021-01-11
País Vasco,31605,0,0,31605,15393,0.4870431893687708,0,2021-01-11
Ceuta,1005,0,0,1005,758,0.7542288557213931,0,2021-01-11
Melilla,1005,0,0,1005,1005,1.0,0,2021-01-11
Totales,743925,0,0,743925,488041,0.6560352186040259,0,2021-01-12
Andalucía,209520,6800,0,216320,123459,0.570723927514793,0,2021-01-13
Aragón,35415,1200,0,36615,20854,0.5695479994537758,0,2021-01-13
Asturias,35420,1200,0,36620,29074,0.7939377389404697,0,2021-01-14
Baleares,12840,600,0,13440,7552,0.5619047619047619,0,2021-01-13
Canarias,41310,1300,0,42610,25159,0.5904482515841352,0,2021-01-13
Cantabria,17700,500,0,18200,12779,0.7021428571428572,0,2021-01-14
Castilla y Leon,76740,2500,0,79240,57969,0.7315623422513882,0,2021-01-14
Castilla La Mancha,53100,1700,0,54800,30613,0.5586313868613139,0,2021-01-14
Cataluña,180020,5800,0,185820,105587,0.5682219352061134,0,2021-01-13
C. Valenciana,91450,2900,0,94350,80429,0.852453630100689,0,2021-01-14
Extremadura,32450,1000,0,33450,17862,0.5339910313901345,0,2021-01-13
Galicia,56080,1800,0,57880,44014,0.7604353835521769,0,2021-01-14
La Rioja,8840,200,0,9040,5385,0.5956858407079646,0,2021-01-13
Madrid,147540,4700,0,152240,63385,0.4163491854965843,0,2021-01-14
Murcia,38360,1200,0,39560,21739,0.5495197168857432,0,2021-01-14
Navarra,17700,500,0,18200,8314,0.4568131868131868,0,2021-01-13
País Vasco,47205,1400,0,48605,20003,0.4115420224256764,0,2021-01-13
Ceuta,1005,200,0,1205,911,0.7560165975103734,0,2021-01-13
Melilla,1005,200,0,1205,1098,0.9112033195020748,0,2021-01-14
Totales,1103700,35700,0,1139400,676186,0.5934579603299982,0,2021-01-13
Andalucía,209520,6800,0,216320,139718,0.645885724852071,0,2021-01-14
Aragón,35415,1200,0,36615,23619,0.6450634985661614,0,2021-01-14
Asturias,35420,1200,0,36620,31247,0.8532768978700164,0,2021-01-15
Baleares,12840,600,0,13440,9366,0.696875,0,2021-01-14
Canarias,41310,1300,0,42610,30732,0.7212391457404366,0,2021-01-15
Cantabria,17700,500,0,18200,14639,0.8043406593406593,0,2021-01-15
Castilla y Leon,76740,2500,0,79240,59411,0.7497602221100454,0,2021-01-14
Castilla La Mancha,53100,1700,0,54800,33809,0.6169525547445256,0,2021-01-15
Cataluña,180020,5800,0,185820,122577,0.6596545043590571,0,2021-01-14
C. Valenciana,91450,2900,0,94350,86927,0.9213248542660308,0,2021-01-15
Extremadura,32450,1000,0,33450,22322,0.6673243647234679,0,2021-01-14
Galicia,56080,1800,0,57880,49768,0.8598479612992398,0,2021-01-15
La Rioja,8840,200,0,9040,5953,0.6585176991150442,0,2021-01-14
Madrid,147540,4700,0,152240,77921,0.5118300052548608,0,2021-01-15
Murcia,38360,1200,0,39560,27001,0.6825328614762386,0,2021-01-15
Navarra,17700,500,0,18200,9305,0.5112637362637362,0,2021-01-14
País Vasco,47205,1400,0,48605,22464,0.4621746733875115,0,2021-01-14
Ceuta,1005,200,0,1205,941,0.7809128630705394,0,2021-01-14
Melilla,1005,200,0,1205,1230,1.020746887966805,0,2021-01-14
Totales,1103700,35700,0,1139400,768950,0.6748727400386169,0,2021-01-15
Andalucía,209520,6800,0,216320,151404,0.6999075443786982,533,2021-01-17
Aragón,35415,1200,0,36615,25133,0.6864126724020211,0,2021-01-17
Asturias,35420,1200,0,36620,33572,0.9167667941015838,202,2021-01-18
Baleares,16740,600,0,17340,13750,0.792964244521338,155,2021-01-17
Canarias,41310,1300,0,42610,42113,0.9883360713447548,327,2021-01-18
Cantabria,17700,500,0,18200,17724,0.9738461538461538,0,2021-01-16
Castilla y Leon,76740,2500,0,79240,67079,0.8465295305401312,124,2021-01-17
Castilla La Mancha,53100,1700,0,54800,38321,0.6992883211678832,0,2021-01-17
Cataluña,180020,5800,0,185820,145073,0.7807178990420838,167,2021-01-17
C. Valenciana,91450,2900,0,94350,93695,0.993057763645999,152,2021-01-18
Extremadura,32450,1000,0,33450,27613,0.8255007473841555,0,2021-01-17
Galicia,56080,1800,0,57880,56481,0.9758293020041464,150,2021-01-18
La Rioja,8840,200,0,9040,7761,0.8585176991150443,0,2021-01-15
Madrid,147540,4700,0,152240,104490,0.6863504992117709,476,2021-01-18
Murcia,38360,1200,0,39560,34103,0.8620576339737108,0,2021-01-18
Navarra,17700,500,0,18200,11834,0.6502197802197802,0,2021-01-17
País Vasco,47205,1400,0,48605,25526,0.5251723073757844,0,2021-01-17
Ceuta,1005,200,0,1205,981,0.8141078838174274,29,2021-01-17
Melilla,1005,200,0,1205,1289,1.0697095435684647,0,2021-01-15
Totales,1107600,35700,0,1143300,897942,0.7853949094725794,2315,2021-01-18
Andalucía,209520,6800,0,216320,164820,0.761926775147929,1773,2021-01-18
Aragón,35415,1200,0,36615,28316,0.7733442578178342,250,2021-01-18
Asturias,35420,1200,0,36620,34293,0.9364554888039324,1285,2021-01-19
Baleares,16740,600,0,17340,14658,0.8453287197231834,164,2021-01-18
Canarias,41310,1300,0,42610,43209,1.014057732926543,339,2021-01-19
Cantabria,17700,500,0,18200,18967,1.042142857142857,0,2021-01-19
Castilla y Leon,76740,2500,0,79240,70885,0.8945608278647148,432,2021-01-18
Castilla La Mancha,53100,1700,0,54800,43682,0.7971167883211678,189,2021-01-18
Cataluña,180020,5800,0,185820,156627,0.8428963513077171,432,2021-01-18
C. Valenciana,91450,2900,0,94350,95260,1.0096449390567035,588,2021-01-19
Extremadura,32450,1000,0,33450,29125,0.8707025411061285,254,2021-01-18
Galicia,56080,1800,0,57880,57871,0.9998445058742226,1191,2021-01-19
La Rioja,8840,200,0,9040,8049,0.8903761061946903,44,2021-01-18
Madrid,147540,4700,0,152240,120168,0.7893326326852338,719,2021-01-19
Murcia,38360,1200,0,39560,36730,0.9284630940343782,934,2021-01-19
Navarra,17700,500,0,18200,12991,0.7137912087912088,299,2021-01-18
País Vasco,47205,1400,0,48605,28069,0.5774920275691802,390,2021-01-18
Ceuta,1005,200,0,1205,1080,0.8962655601659751,29,2021-01-18
Melilla,1005,200,0,1205,1297,1.0763485477178425,29,2021-01-18
Totales,1107600,35700,0,1143300,966097,0.8450074346190851,9341,2021-01-19
Andalucía,244620,6800,0,251420,174279,0.693178744729934,4568,2021-01-19
Aragón,41265,1200,0,42465,33734,0.79439538443424,623,2021-01-19
Asturias,44195,1200,0,45395,36054,0.7942284392554246,1687,2021-01-19
Baleares,22590,600,0,23190,15697,0.676886589047003,167,2021-01-19
Canarias,46185,1300,0,47485,43599,0.918163630620196,339,2021-01-20
Cantabria,20625,500,0,21125,19473,0.9217988165680472,0,2021-01-20
Castilla y Leon,93315,2500,0,95815,74350,0.7759745342587278,633,2021-01-19
Castilla La Mancha,61875,1700,0,63575,48755,0.7668895005898545,195,2021-01-19
Cataluña,211220,5800,0,217020,162830,0.7502995115657544,913,2021-01-19
C. Valenciana,109000,2900,0,111900,99932,0.893047363717605,1737,2021-01-20
Extremadura,39275,1000,0,40275,30941,0.7682433271260087,254,2021-01-19
Galicia,66805,1800,0,68605,59104,0.8615115516361781,1197,2021-01-19
La Rioja,11765,200,0,11965,8335,0.6966151274550773,44,2021-01-19
Madrid,171915,4700,0,176615,129194,0.7315007219092377,812,2021-01-19
Murcia,45185,1200,0,46385,39142,0.8438503826668103,1522,2021-01-20
Navarra,20625,500,0,21125,14559,0.6891834319526627,503,2021-01-19
País Vasco,55980,1400,0,57380,33523,0.5842279539909376,390,2021-01-19
Ceuta,1980,200,0,2180,1110,0.5091743119266054,29,2021-01-19
Melilla,1980,200,0,2180,1326,0.6082568807339449,29,2021-01-18
Totales,1310400,35700,0,1346100,1025937,0.7621551147760196,15642,2021-01-20
Andalucía,244620,6800,0,251420,194101,0.7720189324636068,15193,2021-01-20
Aragón,41265,1200,0,42465,38170,0.8988578829624396,1731,2021-01-21
Asturias,44195,1200,0,45395,40011,0.8813966295847561,5664,2021-01-21
Baleares,22590,600,0,23190,18105,0.7807244501940491,1514,2021-01-20
Canarias,46185,1300,0,47485,45482,0.9578182583973888,1744,2021-01-20
Cantabria,20625,500,0,21125,19980,0.9457988165680472,241,2021-01-20
Castilla y Leon,93315,2500,0,95815,82162,0.8575066534467464,5296,2021-01-20
Castilla La Mancha,61875,1700,0,63575,53880,0.8475029492725128,1202,2021-01-20
Cataluña,211220,5800,0,217020,168054,0.774371025711916,2598,2021-01-20
C. Valenciana,109000,2900,0,111900,101437,0.906496872207328,2956,2021-01-20
Extremadura,39275,1000,0,40275,32039,0.7955058969584109,638,2021-01-20
Galicia,66805,1800,0,68605,62011,0.9038845565192042,3861,2021-01-20
La Rioja,11765,200,0,11965,8684,0.7257835353113247,267,2021-01-21
Madrid,171915,4700,0,176615,142765,0.808340174956827,1738,2021-01-20
Murcia,45185,1200,0,46385,40757,0.878667672739032,1784,2021-01-21
Navarra,20625,500,0,21125,15754,0.7457514792899408,767,2021-01-20
País Vasco,55980,1400,0,57380,36864,0.6424538166608574,1333,2021-01-20
Ceuta,1980,200,0,2180,1545,0.7087155963302753,326,2021-01-20
Melilla,1980,200,0,2180,1500,0.6880733944954128,203,2021-01-20
Totales,1310400,35700,0,1346100,1103301,0.819627813683976,49056,2021-01-21
Andalucía,244620,6800,0,251420,209766,0.8343250338079707,20846,2021-01-21
Aragón,41265,1200,0,42465,41287,0.9722595078299776,2165,2021-01-21
Asturias,44195,1200,0,45395,41465,0.9134265888313692,6851,2021-01-22
Baleares,22590,600,0,23190,20499,0.8839586028460543,2660,2021-01-21
Canarias,46185,1300,0,47485,47068,0.9912182794566704,2865,2021-01-21
Cantabria,20625,500,0,21125,20462,0.9686153846153848,241,2021-01-21
Castilla y Leon,93315,2500,0,95815,86370,0.9014246203621562,6060,2021-01-21
Castilla La Mancha,61875,1700,0,63575,57031,0.8970664569406213,1593,2021-01-21
Cataluña,211220,5800,0,217020,173147,0.7978389088563266,4101,2021-01-21
C. Valenciana,109000,2900,0,111900,103426,0.924271671134942,4139,2021-01-21
Extremadura,39275,1000,0,40275,32979,0.8188454376163873,638,2021-01-21
Galicia,66805,1800,0,68605,65394,0.953195831207638,7204,2021-01-21
La Rioja,11765,200,0,11965,8967,0.7494358545758463,317,2021-01-21
Madrid,171915,4700,0,176615,154778,0.8763581802225179,2263,2021-01-21
Murcia,45185,1200,0,46385,42261,0.9110919478279615,2086,2021-01-22
Navarra,20625,500,0,21125,16310,0.7720710059171597,807,2021-01-21
País Vasco,55980,1400,0,57380,41474,0.7227953990937609,3044,2021-01-21
Ceuta,1980,200,0,2180,1641,0.7527522935779817,373,2021-01-21
Melilla,1980,200,0,2180,1500,0.6880733944954128,203,2021-01-20
Totales,1310400,35700,0,1346100,1165825,0.8660760716142931,68456,2021-01-22
Andalucía,244620,6800,0,251420,226309,0.9001232996579429,25516,2021-01-24
Aragón,41265,1200,0,42465,42539,1.0017426115624632,2222,2021-01-24
Asturias,44195,1200,0,45395,43926,0.9676396078863312,9030,2021-01-22
Baleares,22590,600,0,23190,22083,0.9522639068564036,2713,2021-01-23
Canarias,46185,1300,0,47485,50110,1.0552806149310308,3993,2021-01-24
Cantabria,20625,500,0,21125,20463,0.9686627218934912,241,2021-01-23
Castilla y Leon,93315,2500,0,95815,94057,0.9816521421489328,9593,2021-01-24
Castilla La Mancha,61875,1700,0,63575,61388,0.965599685410932,2008,2021-01-24
Cataluña,211220,5800,0,217020,184778,0.8514330476453783,7472,2021-01-24
C. Valenciana,109000,2900,0,111900,104449,0.933413762287757,4532,2021-01-23
Extremadura,39275,1000,0,40275,33125,0.8224705152079453,638,2021-01-23
Galicia,66805,1800,0,68605,66873,0.9747540266744408,8602,2021-01-23
La Rioja,11765,200,0,11965,9166,0.7660676974508984,317,2021-01-22
Madrid,171915,4700,0,176615,165514,0.9371457690456644,2634,2021-01-24
Murcia,45185,1200,0,46385,46444,1.0012719629190472,4447,2021-01-24
Navarra,20625,500,0,21125,17053,0.8072426035502959,809,2021-01-22
País Vasco,55980,1400,0,57380,46124,0.8038340885325898,3355,2021-01-23
Ceuta,1980,200,0,2180,1692,0.7761467889908257,373,2021-01-21
Melilla,1980,200,0,2180,1500,0.6880733944954128,203,2021-01-20
Totales,1310400,35700,0,1346100,1237593,0.9193915756630264,88698,2021-01-24
Andalucía,244620,6800,0,251420,251172,0.9990136027364568,37978,2021-01-25
Aragón,41265,1200,0,42465,43531,1.025103026021429,2945,2021-01-25
Asturias,44195,1200,0,45395,44087,0.9711862539927304,10694,2021-01-25
Baleares,22590,600,0,23190,22372,0.9647261750754637,2879,2021-01-25
Canarias,46185,1300,0,47485,52768,1.1112561861640518,5149,2021-01-25
Cantabria,20625,500,0,21125,20743,0.9819171597633136,300,2021-01-23
Castilla y Leon,93315,2500,0,95815,99536,1.0388352554401712,13245,2021-01-25
Castilla La Mancha,61875,1700,0,63575,64349,1.012174596932757,3623,2021-01-25
Cataluña,211220,5800,0,217020,182713,0.841917795594876,9620,2021-01-25
C. Valenciana,109000,2900,0,111900,105490,0.9427167113494191,5393,2021-01-25
Extremadura,39275,1000,0,40275,35441,0.8799751707014277,1721,2021-01-25
Galicia,66805,1800,0,68605,70384,1.025931054587858,12042,2021-01-25
La Rioja,11765,200,0,11965,9387,0.7845382365231927,455,2021-01-25
Madrid,171915,4700,0,176615,169501,0.9597202955581348,4073,2021-01-25
Murcia,45185,1200,0,46385,48652,1.0488735582623694,5829,2021-01-25
Navarra,20625,500,0,21125,18703,0.8853491124260355,1757,2021-01-25
País Vasco,55980,1400,0,57380,48927,0.8526838619728129,5159,2021-01-25
Ceuta,1980,200,0,2180,1829,0.8389908256880734,503,2021-01-25
Melilla,1980,200,0,2180,1631,0.748165137614679,332,2021-01-25
Totales,1310400,35700,0,1346100,1291216,0.9592273976673352,123697,2021-01-25
Andalucía,324180,6800,0,330980,257976,0.7794307813160916,50951,2021-01-26
Aragón,55305,1200,0,56505,47835,0.8465622511282187,5860,2021-01-26
Asturias,58235,1200,0,59435,49077,0.8257255825691933,13727,2021-01-26
Baleares,29610,600,0,30210,23603,0.7812975835815955,3114,2021-01-26
Canarias,64320,1300,0,65620,54653,0.8328710758914964,6434,2021-01-26
Cantabria,27645,500,0,28145,20910,0.7429383549475929,300,2021-01-26
Castilla y Leon,121395,2500,0,123895,104197,0.8410105331127165,18756,2021-01-26
Castilla La Mancha,82935,1700,0,84635,68522,0.8096177704259467,6982,2021-01-26
Cataluña,280250,5800,0,286050,201650,0.7049466876420206,18426,2021-01-26
C. Valenciana,142930,2900,0,145830,108454,0.7437015703216073,7304,2021-01-26
Extremadura,50975,1000,0,51975,37790,0.7270803270803271,3134,2021-01-26
Galicia,87865,1800,0,89665,72676,0.8105280767300508,14235,2021-01-26
La Rioja,14105,200,0,14305,9618,0.6723523243621111,684,2021-01-26
Madrid,228075,4700,0,232775,174094,0.7479067769305123,5611,2021-01-26
Murcia,59225,1200,0,60425,50957,0.8433098882912702,7453,2021-01-26
Navarra,27645,500,0,28145,20057,0.7126310179427963,2541,2021-01-26
País Vasco,74700,1400,0,76100,50850,0.6681997371879106,6637,2021-01-26
Ceuta,1980,200,0,2180,1829,0.8389908256880734,503,2021-01-25
Melilla,1980,200,0,2180,1713,0.7857798165137615,414,2021-01-26
Totales,1733355,35700,0,1769055,1356461,0.7667715249101922,173066,2021-01-26
Andalucía,324180,6800,0,330980,265620,0.8025258323765786,55004,2021-01-27
Aragón,55305,1200,0,56505,49453,0.8751968852313955,6806,2021-01-27
Asturias,58235,1200,0,59435,49857,0.8388491629511231,14080,2021-01-27
Baleares,29610,600,0,30210,23540,0.7792121813968884,3295,2021-01-27
Canarias,64320,1300,0,65620,56385,0.8592654678451691,6864,2021-01-27
Cantabria,27645,500,0,28145,21469,0.7627997868182625,782,2021-01-27
Castilla y Leon,121395,2500,0,123895,108203,0.8733443641793455,19658,2021-01-27
Castilla La Mancha,82935,1700,0,84635,71484,0.8446151119513203,7628,2021-01-27
Cataluña,280250,5800,0,286050,208177,0.7277643768571928,23262,2021-01-27
C. Valenciana,142930,2900,0,145830,109716,0.7523554824110266,8948,2021-01-27
Extremadura,50975,1000,0,51975,39821,0.7661568061568061,3135,2021-01-27
Galicia,87865,1800,0,89665,74278,0.8283945798249038,15827,2021-01-27
La Rioja,14105,200,0,14305,10283,0.7188395665851101,1084,2021-01-27
Madrid,228075,4700,0,232775,177972,0.7645666416067017,6987,2021-01-27
Murcia,59225,1200,0,60425,53447,0.8845179975175838,8713,2021-01-27
Navarra,27645,500,0,28145,21007,0.7463847930360632,2797,2021-01-27
País Vasco,74700,1400,0,76100,51436,0.6759001314060447,6906,2021-01-27
Ceuta,1980,200,0,2180,1757,0.8059633027522936,569,2021-01-26
Melilla,1980,200,0,2180,1713,0.7857798165137615,414,2021-01-26
Totales,1733355,35700,0,1769055,1395618,0.7889059413076474,192759,2021-01-27
Andalucía,324180,6800,0,330980,282995,0.8550214514472173,67511,2021-01-28
Aragón,55305,1200,0,56505,53937,0.9545526944518185,9752,2021-01-28
Asturias,58235,1200,0,59435,52919,0.8903676285017246,16266,2021-01-28
Baleares,29610,600,0,30210,25041,0.8288977159880834,4369,2021-01-28
Canarias,64320,1300,0,65620,60180,0.917098445595855,8772,2021-01-28
Cantabria,27645,500,0,28145,21641,0.7689109966246225,924,2021-01-28
Castilla y Leon,121395,2500,0,123895,114743,0.9261309980225192,25020,2021-01-28
Castilla La Mancha,82935,1700,0,84635,77765,0.9188279080758552,12486,2021-01-28
Cataluña,280250,5800,0,286050,222572,0.7780877468973956,35424,2021-01-28
C. Valenciana,142930,2900,0,145830,112272,0.7698827401769184,11317,2021-01-28
Extremadura,50975,1000,0,51975,41961,0.8073304473304473,4460,2021-01-28
Galicia,87865,1800,0,89665,78772,0.878514470529192,20268,2021-01-28
La Rioja,14105,200,0,14305,10820,0.7563788885005243,1592,2021-01-28
Madrid,228075,4700,0,232775,183458,0.7881344646117495,10595,2021-01-28
Murcia,59225,1200,0,60425,55082,0.9115763342987174,9264,2021-01-28
Navarra,27645,500,0,28145,22430,0.79694439509682,3535,2021-01-28
País Vasco,74700,1400,0,76100,53839,0.7074770039421814,9052,2021-01-28
Ceuta,1980,200,0,2180,1828,0.8385321100917431,628,2021-01-28
Melilla,1980,200,0,2180,1934,0.8871559633027523,631,2021-01-28
Totales,1733355,35700,0,1769055,1474189,0.8333200494049082,251866,2021-01-28
Andalucía,324180,6800,0,330980,299792,0.9057707414345276,78640,2021-01-31
Aragón,55305,1200,0,56505,55292,0.9785328731970622,10364,2021-01-31
Asturias,58235,1200,0,59435,58112,0.9777403886598806,19475,2021-01-31
Baleares,29610,600,0,30210,25559,0.8460443561734525,4782,2021-01-30
Canarias,64320,1300,0,65620,64475,0.9825510515086864,11501,2021-01-31
Cantabria,27645,500,0,28145,23626,0.8394386214247647,2737,2021-01-30
