PLAN_ID,CREDITOS,MEDIA,CURSO_INICIO,NOTA_PAU_FISICA,NOTA_PAU_MATEMATICAS II,NOTA_PAU_CALIFICACION,PLAN_DESC,NOTA_FUNDAMENTOS DE PROGRAMACIÓN,NOTA_ONDAS ELECTROMAGNÉTICAS,NOTA_SISTEMAS Y CIRCUITOS,NOTA_TEORÍA DE LA COMUNICACIÓN,MATRICS_HASTA_PRESENTARSE_1RA_VEZ_FUNDAMENTOS DE PROGRAMACIÓN,MATRICS_HASTA_PRESENTARSE_1RA_VEZ_ONDAS ELECTROMAGNÉTICAS,MATRICS_HASTA_PRESENTARSE_1RA_VEZ_SISTEMAS Y CIRCUITOS,MATRICS_HASTA_PRESENTARSE_1RA_VEZ_TEORÍA DE LA COMUNICACIÓN,MATRICS_TOTALES_FUNDAMENTOS DE PROGRAMACIÓN,MATRICS_TOTALES_ONDAS ELECTROMAGNÉTICAS,MATRICS_TOTALES_SISTEMAS Y CIRCUITOS,MATRICS_TOTALES_TEORÍA DE LA COMUNICACIÓN,CONVOCS_HASTA_PRESENTARSE_1RA_VEZ_FUNDAMENTOS DE PROGRAMACIÓN,CONVOCS_HASTA_PRESENTARSE_1RA_VEZ_ONDAS ELECTROMAGNÉTICAS,CONVOCS_HASTA_PRESENTARSE_1RA_VEZ_SISTEMAS Y CIRCUITOS,CONVOCS_HASTA_PRESENTARSE_1RA_VEZ_TEORÍA DE LA COMUNICACIÓN,CONVOCS_TOTALES_FUNDAMENTOS DE PROGRAMACIÓN,CONVOCS_TOTALES_ONDAS ELECTROMAGNÉTICAS,CONVOCS_TOTALES_SISTEMAS Y CIRCUITOS,CONVOCS_TOTALES_TEORÍA DE LA COMUNICACIÓN
5041,204.0,6.915441176470588,2010-11,,,6.65,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),5.3,5.0,5.4,7.8,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0
5041,234.0,7.975000000000001,2010-11,,8.5,9.0,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),5.6,7.5,6.4,7.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0
5041,222.0,7.041891891891892,2010-11,5.15,9.0,8.71,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),6.8,6.2,5.2,7.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0
5041,216.0,7.241666666666666,2010-11,,9.75,8.18,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),5.7,5.0,5.1,6.2,1.0,3.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,9.0,1.0,4.0,1.0,9.0,1.0,6.0
5041,192.0,7.2046874999999995,2010-11,5.4,10.0,7.32,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),,5.0,7.4,5.9,,1.0,1.0,1.0,,1.0,1.0,1.0,,3.0,1.0,1.0,,3.0,1.0,1.0
5041,120.0,6.25625,2010-11,7.7,5.25,7.38,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),,5.5,5.0,5.2,,2.0,1.0,1.0,,4.0,2.0,3.0,,4.0,1.0,2.0,,11.0,4.0,7.0
5041,198.0,7.488636363636365,2010-11,3.2,5.4,7.01,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),,5.9,7.4,7.7,,1.0,1.0,2.0,,2.0,1.0,2.0,,3.0,1.0,4.0,,4.0,1.0,4.0
5041,186.0,6.999193548387097,2010-11,7.3,7.65,7.96,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),,6.6,6.0,7.8,,3.0,1.0,2.0,,3.0,1.0,3.0,,7.0,1.0,5.0,,7.0,1.0,6.0
5041,180.0,6.744166666666666,2010-11,3.0,7.75,7.51,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),5.0,5.6,5.0,6.1,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,6.0,1.0,2.0,3.0,6.0,1.0,2.0
5041,210.0,6.968571428571429,2010-11,4.7,7.5,6.73,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),,5.8,8.5,7.2,,2.0,1.0,1.0,,2.0,1.0,1.0,,6.0,1.0,2.0,,6.0,1.0,2.0
5041,198.0,6.781060606060605,2010-11,5.2,9.5,7.78,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),,5.8,6.4,7.1,,1.0,1.0,2.0,,1.0,1.0,2.0,,1.0,1.0,4.0,,1.0,1.0,4.0
5041,186.0,6.664516129032258,2010-11,1.9,6.0,7.29,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),,5.1,6.7,7.0,,2.0,1.0,1.0,,3.0,2.0,2.0,,6.0,2.0,2.0,,8.0,3.0,4.0
5041,140.0,6.991428571428571,2010-11,1.3,8.0,7.04,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),7.4,7.0,7.6,5.3,4.0,2.0,1.0,1.0,4.0,3.0,3.0,1.0,10.0,6.0,1.0,2.0,10.0,8.0,6.0,2.0
5041,210.0,6.9157142857142855,2011-12,,5.0,7.62,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),9.0,6.1,5.4,7.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,1.0,2.0,2.0,5.0,3.0,2.0
5041,221.0,6.8398190045248874,2011-12,5.2,1.75,5.95,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),8.1,6.3,5.2,7.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,4.0
5041,180.0,7.0586111111111105,2011-12,,6.75,7.92,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),7.0,5.5,5.0,5.9,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,7.0,5.0,3.0,4.0
5041,139.5,6.094623655913978,2011-12,5.4,5.0,6.52,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),5.5,,5.4,6.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0
5041,243.0,9.559259259259258,2011-12,9.8,7.5,8.71,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),10.0,10.0,9.0,9.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5041,234.0,8.719871794871795,2011-12,9.0,5.1,9.28,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),9.5,6.4,8.3,9.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5041,204.0,7.358088235294119,2011-12,7.8,8.75,8.89,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),7.6,5.6,6.3,7.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0
5041,198.0,7.087878787878789,2011-12,9.3,5.5,8.19,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),7.2,5.8,7.2,7.2,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,3.0,2.0,2.0,5.0,3.0,2.0
5041,204.0,7.11544117647059,2011-12,7.2,7.25,8.16,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),5.3,5.6,6.2,6.4,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0
5041,204.0,6.694117647058825,2011-12,4.6,5.25,7.8,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),5.0,5.9,6.0,6.1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0
5041,192.0,6.99140625,2011-12,6.4,9.5,7.96,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),7.5,6.2,7.8,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0
5041,222.0,6.816891891891891,2011-12,5.9,8.75,7.01,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),7.7,6.0,6.6,6.2,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,2.0
5041,222.0,7.340540540540541,2011-12,10.0,5.3,8.61,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),9.3,7.7,7.4,6.2,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0
5041,199.5,7.029323308270675,2011-12,7.5,3.5,8.65,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),5.8,6.0,6.4,7.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,7.0,1.0,1.0,1.0,7.0,3.0,1.0
5041,157.5,6.589523809523809,2011-12,5.8,2.25,6.66,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),7.9,6.2,5.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,5.0,3.0,1.0
5041,168.0,6.5857142857142845,2011-12,2.4,2.5,5.54,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),5.0,5.7,5.8,5.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,5.0,2.0,11.0,5.0,5.0,3.0
5041,120.0,6.318749999999999,2011-12,5.6,4.0,6.09,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),5.0,5.9,5.8,5.0,1.0,1.0,2.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,4.0,2.0,12.0,7.0,8.0,6.0
5041,132.0,6.711363636363637,2011-12,4.1,5.25,5.77,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),8.4,5.3,,,1.0,1.0,,,2.0,3.0,,,3.0,2.0,,,4.0,8.0,,
5041,205.5,7.979562043795623,2011-12,,2.8,6.18,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),7.3,,8.1,7.0,2.0,,2.0,1.0,2.0,,2.0,1.0,4.0,,4.0,1.0,4.0,,4.0,1.0
5041,210.0,7.141428571428572,2011-12,7.7,9.0,8.17,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),9.1,5.8,9.0,6.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0
5041,157.5,6.423809523809522,2011-12,0.0,6.2,5.22,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),7.9,5.2,5.4,5.8,1.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,3.0,4.0,2.0,6.0,3.0,7.0
5041,181.5,6.844628099173553,2011-12,,2.0,6.67,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),5.2,7.0,6.6,6.4,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,6.0,4.0,4.0,3.0
5041,180.0,6.814166666666665,2011-12,,8.0,7.7,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),5.0,6.0,6.7,6.4,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,6.0
5041,234.0,8.131410256410257,2011-12,7.2,8.9,8.67,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),8.0,6.0,7.1,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5041,198.0,6.808333333333333,2011-12,1.0,1.25,5.71,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),5.0,5.6,7.0,5.4,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,6.0,2.0,4.0,2.0,6.0,4.0,4.0,2.0
5041,156.0,7.063461538461539,2011-12,6.6,8.35,8.53,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),,7.5,,7.6,,1.0,,1.0,,3.0,,1.0,,3.0,,1.0,,9.0,,1.0
5041,183.0,6.640163934426229,2011-12,6.8,6.0,6.18,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),5.0,6.1,5.6,5.1,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,1.0,3.0,1.0,5.0,5.0,3.0,3.0
5041,162.0,6.405555555555554,2011-12,4.8,6.0,6.08,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),6.1,5.3,6.6,7.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,10.0,2.0,1.0
5041,195.0,6.955384615384615,2012-13,,9.5,7.76,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),5.5,6.0,6.8,7.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0
5041,174.0,7.252586206896552,2012-13,7.4,5.5,8.69,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),6.6,6.0,7.2,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,3.0,1.0,1.0
5041,222.0,6.658783783783784,2012-13,2.1,0.0,7.87,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),5.6,6.5,5.5,6.1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0,5.0,1.0,3.0
5041,222.0,7.878378378378377,2012-13,6.7,7.0,8.58,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),8.5,6.3,8.5,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
5041,222.0,7.5405405405405395,2012-13,6.7,4.25,8.64,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),7.6,5.9,7.8,7.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5041,222.0,6.673648648648647,2012-13,4.5,5.5,6.63,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),5.0,5.8,5.7,5.8,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,1.0,2.0
5041,198.0,7.2871212121212094,2012-13,6.6,7.75,8.55,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),5.3,5.9,7.4,6.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
5041,216.0,7.011805555555555,2012-13,7.4,2.5,7.54,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),8.4,5.6,6.9,5.9,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,5.0,1.0,3.0
5041,201.0,7.27089552238806,2012-13,8.85,5.75,7.86,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),6.0,6.1,7.1,7.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0
5041,234.0,7.932692307692307,2012-13,5.5,10.0,7.93,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),9.0,7.0,8.0,7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0
5041,174.0,6.923275862068966,2012-13,4.7,5.0,7.5,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),6.4,5.6,5.1,5.6,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,7.0,2.0,5.0
5041,222.0,8.424324324324324,2012-13,9.1,10.0,8.08,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),10.0,9.0,9.0,7.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5041,234.0,8.30833333333333,2012-13,8.0,8.0,8.47,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),8.1,9.0,9.5,7.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5041,228.0,7.932894736842106,2012-13,,8.5,6.96,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),10.0,6.0,5.8,7.1,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0
5041,187.5,6.6304,2012-13,,6.5,5.48,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),8.0,6.0,6.4,5.8,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,1.0,5.0
5041,169.0,7.001775147928996,2012-13,5.05,6.87,7.57,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),8.1,5.5,5.0,5.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,5.0
5041,162.0,6.375925925925927,2012-13,3.35,2.63,7.79,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),8.3,5.3,5.6,5.1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,3.0
5041,175.5,6.774358974358973,2012-13,8.0,5.5,6.7,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),7.5,5.5,5.0,6.1,1.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,5.0,1.0,4.0,4.0,7.0,5.0,6.0
5041,144.0,6.448958333333333,2012-13,5.3,5.0,6.56,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),5.3,5.0,5.5,5.7,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,11.0,1.0,6.0
5041,150.0,6.531,2012-13,1.0,5.25,,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),7.5,5.9,8.1,,1.0,2.0,1.0,,2.0,2.0,1.0,,3.0,6.0,1.0,,4.0,6.0,1.0,
5041,186.0,7.252419354838711,2012-13,2.5,4.0,6.26,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),5.0,5.2,7.1,5.4,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,4.0,2.0,1.0,2.0
5041,199.5,7.12781954887218,2012-13,3.75,6.0,6.94,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),8.0,6.1,5.5,7.7,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,4.0,2.0,4.0,1.0
5041,198.0,7.050000000000001,2012-13,2.75,1.5,6.05,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),7.1,5.8,5.9,5.2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0
5041,204.0,6.7198529411764705,2012-13,4.8,4.31,6.83,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),6.4,6.1,7.7,6.3,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,5.0,1.0,1.0,4.0,9.0,1.0,1.0
5041,240.0,7.855000000000002,2013-14,7.8,9.5,9.21,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),8.0,6.0,7.5,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0
5041,234.0,8.034615384615384,2013-14,7.3,7.25,9.07,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),8.0,7.5,5.2,8.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0
