Line;Peak_1;Peak_2;Peak_3;Peak_4;Peak_5;Peak_6;Peak_7;Peak_8;Peak_9;Peak_10;Peak_11;Peak_12;Peak_13;Peak_14;Peak_15;Peak_16;Peak_17;Peak_18;Peak_19;Peak_20;Peak_21;Peak_22;Peak_23;Peak_24;Peak_25;Peak_26;Peak_27;Peak_28
2;0.0076321;0.0095607;0.0014858;0.007715;0.0630437;0.0225033;0.011024;0.0178981;0.0208043;0.0401037;0.0120039;0.0007136;0.0117724;0.006463;0.0017723;0.2372023;0.0168105;0.2076582;0;0.0035554;0.0011206;0.0256887;0.0035613;0.012407;0.0196306;0.0054701;0.204302;0.0050418
2;0.0084036;0.0225599;0.0026243;0.0262051;0.007323;0.016208;0.0054195;0.0058178;0.0893247;0;0.0228376;0.0779746;0;0.0107003;0.0007852;0.0035151;0.0011426;0.5938852;0.0014717;0.0042969;0.0009564;0.0006266;0.0062798;0.0207234;0.0164137;0.0153368;0.0331169;0.0060514
2;0.008241;0.0102239;0.0015636;0.0121388;0.0654082;0.1214653;0.0188166;0.0130012;0.0237922;0.0320108;0.0378708;0.0028385;0.0085528;0.0082512;0.0055399;0.0028875;0.1849242;0.019379;0.1700328;0.0017557;0.001535;0.0083187;0.0045706;0.0152881;0.0143626;0.0084313;0.1861451;0.0044646
2;0.0037052;0.0069067;0.0009695;0.0015183;0.0613985;0.2035557;0.0005012;0.0050569;0.0034403;0.0226455;0.0030366;0.0010415;0.0300102;0.0007882;0.001539;0.001548;0.4399166;0.0114876;0.0463317;0.0028559;0.0021168;0.0423901;0;0.0093784;0.0073256;0.0129932;0.0682572;0.0018595
2;0.0101284;0.0074277;0.001481;0.0220234;0.0011386;0.005809;0.0022032;0.0022631;0.0736039;0;0.0380277;0.0558384;0;0;0.0055396;0;0.0005358;0.0021008;0.6798009;0.0036196;0.0020274;0;0.0147123;0.0212858;0.022147;0.0132362;0.0049126;0.0101375
2;0.0092505;0.0076737;0.0020979;0.0201679;0.0013007;0.0059694;0.0028874;0.0021978;0.0281506;0.0492307;0.0392288;0.0036955;0.0651073;0;0.0054312;0.0000602;0.0006723;0.0022273;0.6439755;0.0025643;0.0017377;0;0.0201463;0.0213284;0.0222964;0.0130458;0.0055384;0.0102149
2;0.0182546;0.0160915;0.0045537;0.0209612;0.0266656;0.0414715;0.0089865;0;0.0365207;0.044547;0.0356382;0.0759747;0.0040618;0.0014217;0.0078206;0.0021247;0.068839;0.0067917;0.3643353;0.0026752;0.0016147;0.0049854;0.0241728;0.0236736;0.028949;0.0167255;0.1027798;0.0093641
2;0.0176039;0.0056408;0.0028363;0.0204111;0.0008188;0.0060625;0;0;0.0705819;0;0;0;0;0.0017656;0.0014133;0;0.0020816;0;0.7252223;0;0;0.0026652;0.0181883;0.0198916;0.025708;0.0107357;0.0066738;0.0092927
2;0.0016271;0.0037009;0.0027315;0.0008456;0.0081544;0.2783228;0.0020431;0.0012798;0.0025809;0.0055535;0;0.0582718;0.0410486;0.0016401;0.0013512;0.0217197;0.1927801;0.0080213;0.0326829;0.0428385;0.0833223;0.0569347;0.0046112;0.0046971;0.0051253;0.0026121;0.1256221;0.001676
2;0.0021112;0.0061991;0.0003764;0.0016148;0.1048628;0.2534883;0.0026249;0.0051969;0.0041163;0.0399721;0.0026868;0.0011499;0.0304757;0.0011118;0.0030546;0.0016154;0.3625143;0.0252468;0.0348007;0.0008177;0.0011598;0.0370868;0;0.0069713;0.0041027;0.0105748;0.0415065;0.002164
2;0.0019107;0.0053232;0.000692;0.0012517;0.0475018;0.3605846;0.0011234;0.0029807;0.0034746;0.015697;0.0030962;0.0047952;0.0404387;0.0008375;0.0020923;0.0030891;0.3088669;0.0148479;0.0419083;0.004785;0.0064469;0.0449471;0;0.0052186;0.0040627;0.0076129;0.0554165;0.0013166
2;0.0048552;0.0175414;0.0014665;0.0041768;0.0321391;0.1994928;0.0020686;0.0096309;0.0119474;0.0232687;0.0081877;0.0033083;0.0171799;0.0017064;0.0036902;0.0021806;0.324517;0.0123074;0.1267919;0.0066121;0.0034778;0.0272264;0.0026349;0.0115265;0.0117928;0.007095;0.1099416;0.0023647
2;0.00236;0.0054474;0.0005673;0.0020625;0.0677174;0.1661353;0.0217478;0;0.0047631;0.0200808;0.013097;0.0070197;0.0285523;0.014081;0.0024128;0.0026513;0.3313917;0.0367881;0.05059;0.0057617;0.0046932;0.0766553;0.0014886;0.0059717;0.0054896;0.0039984;0.1171721;0.0013037
2;0.002592;0.0067625;0.0012076;0.0034398;0.0302794;0.3177483;0.0071075;0.0053342;0.0096492;0.0148147;0;0.0147126;0.0290578;0.0038197;0.0040224;0.0047132;0.2204015;0.0159021;0.1029752;0.0119837;0.0112436;0.0254255;0.0013521;0.0064124;0.0107153;0.0039982;0.1104931;0.0018361
2;0.0042588;0.0097956;0.0008852;0.0056413;0.0300199;0.1710969;0.0150625;0.0070074;0.0104605;0.016315;0.0090581;0.0107171;0.0292706;0.0052643;0.0048809;0.0025702;0.2524521;0.017947;0.0944755;0.0049174;0.0056723;0.0390123;0.0074392;0.0087876;0.011154;0.0056197;0.2018378;0.0023537
3;0.0065423;0.0340334;0.0033059;0.0177812;0.0410728;0.0121691;0.0016516;0.0431374;0.0602893;0.0064392;0.0329192;0.0005688;0.0003069;0.0020589;0.0104739;0.0012374;0.0118052;0.0024479;0.5288393;0.0036549;0.0017071;0.0020653;0.003729;0.023981;0.0150994;0.0524556;0.0298903;0.0071563
3;0.0084844;0.0436407;0.0032382;0.0264142;0.0138171;0.0131544;0.002126;0.0463748;0.0580833;0.0147139;0.0302978;0;0;0.0012897;0.0121008;0;0.0136846;0.0024976;0.4678371;0.0029117;0;0.0036046;0.0064204;0.0331875;0.0263193;0.0707864;0.048825;0.0093153
3;0.0039221;0.0098276;0.0005401;0.0168337;0.0029748;0.0127905;0.0012597;0.0251178;0.0599615;0;0.0175342;0;0;0.001112;0.0025451;0;0.005834;0;0.6101003;0.0032307;0.0017258;0.0028949;0.0179107;0.0255534;0.015249;0.0765792;0.0516041;0.0104479
3;0.0059066;0.0227451;0.00155;0.007983;0.0418082;0.1727712;0.0037239;0.029307;0.009822;0.0372634;0;0.0019962;0.0148796;0.0018317;0.016641;0.0035991;0.4256135;0.0096284;0.0661621;0.0025991;0;0.0147223;0.0030648;0.0099215;0.0057181;0.0106285;0.0365077;0.0017438
3;0.0068749;0.0556556;0.0021318;0.0094428;0.0674426;0.0574894;0.0019878;0.0369461;0.017059;0.0047366;0.0061122;0.0014329;0.0034806;0.0025754;0.0165271;0.0026942;0.1590534;0.0223698;0.1308019;0;0.0023023;0.0242669;0;0.0482168;0.0160209;0.0463908;0.2200045;0.0066032
3;0.0066604;0.0027561;0.015735;0.0033012;0.0075371;0.2671309;0.000973;0.0023231;0.038709;0.0059408;0;0.019303;0.0030108;0.0011793;0.0016137;0.0068119;0.0208451;0.0045517;0.4656658;0.0172878;0.0243338;0.0012565;0.0044103;0.0059221;0.0085746;0.005626;0.0403833;0.0043671
3;0.0077858;0.0662803;0.0018711;0.0153019;0.1008568;0.0118609;0.0081912;0.0679109;0.0167408;0.104603;0;0;0.0050122;0.0021911;0.0197863;0.0040277;0.2817237;0.0322732;0.1160269;0.0020615;0;0.0101939;0;0.0263029;0.0104676;0.0370419;0.04055;0.003686
